nome,bairro__nome
cidade verde,OUTRO
RUA GONCALVES DIAS,OUTRO
Zona rural,OUTRO
N,OUTRO
COTUVELO,OUTRO
203,OUTRO
SÃO GONÇALO DO AMARA,OUTRO
Jardim Lola,OUTRO
Manoel Salustino,OUTRO
campinas 2,OUTRO
NAO INFORMADO,OUTRO
SANTOS DUMON,OUTRO
Novo Santo Antônio,OUTRO
BARRA DE TABATINGA,OUTRO
EMAUS ,OUTRO
JARDIM AREPORTO,OUTRO
NÃO INFORMADO,OUTRO
Guamare,OUTRO
CIDADE ,OUTRO
Assentamento Umarizeiro,OUTRO
Parnamirim,OUTRO
LIBERDADE,OUTRO
Zona Rural,OUTRO
NS DA APRESENTAÇÃO ,OUTRO
barreiros ,OUTRO
N IDENTIFICADO,OUTRO
NOVO AMARANTE,OUTRO
JOCKEY CLUB,OUTRO
São Gonçalo,OUTRO
NOV PARNAMIRIM,OUTRO
SAO GONCALO,OUTRO
PARQUE DAS COLINAS,OUTRO
SAO PEDRO,OUTRO
SÃO MIGUEL ARCANJO,OUTRO
Golandim,OUTRO
EXTREMOZ,OUTRO
MACAIBA,OUTRO
COAHBINAL,OUTRO
NOVA PARNAMIRIM,OUTRO
NOVO AMARANTE ,OUTRO
extremoz,OUTRO
AMARANTE,OUTRO
SÃO SEBASTIÃO,OUTRO
emaus ,OUTRO
CJ AMARANTE,OUTRO
Salina da Cruz,OUTRO
COTOVELO,OUTRO
NOVA PARNAMARIM,OUTRO
SAO G DO AMARANTE,OUTRO
PARQUE SAO JOAO,OUTRO
SANTA TEREZA,OUTRO
SERRA DE TAPUIA,OUTRO
NS APARECIDA ,OUTRO
MILANI,OUTRO
bahia formosa,OUTRO
71,OUTRO
Dinarte Mariz ,OUTRO
nova parnamirim ,OUTRO
santa tereza,OUTRO
N PARNAMIRIN NATAL,OUTRO
CAVALHADA,OUTRO
SAO JOSE DE MIPIBU ,OUTRO
SAO JOSE DE MIPIBU,OUTRO
CEARA MIRIM,OUTRO
CONJ JD AMERICA,OUTRO
ABOLICAO I,OUTRO
NOVA PÁRNAMIRIM,OUTRO
APARECIDA,OUTRO
SAO GONÇALO,OUTRO
NOVO SANTO ANTONIO,OUTRO
MARIA TERCEIRA,OUTRO
CIDADE DAS ROSA,OUTRO
ALTO BACUPARI,OUTRO
PRADO,OUTRO
SEM REGISTRO,OUTRO
JANGA ,OUTRO
ALEGRO,OUTRO
RIO GRANDE,OUTRO
LARGO DA ,OUTRO
11111111111,OUTRO
NOVA PARNAMIRIM ,OUTRO
ZONA RURAL,OUTRO
BARRA FUNDA,OUTRO
RESIDENCIAL FLORIDA,OUTRO
Nova Paramirim,OUTRO
S/N,OUTRO
Tirol,TIROL
PAJUCARA II,PAJUÇARA
N S NAZARE,NOSSA SENHORA DE NAZARÉ
N SRA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
CID ESPERANCA,CIDADE DA ESPERANÇA
NAZARE ,NOSSA SENHORA DE NAZARÉ
REDINHA ,REDINHA
NOSSA SR DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
N S DA APRESENTACA,NOSSA SENHORA DA APRESENTAÇÃO
N S DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NS APRESENTA AO,NOSSA SENHORA DA APRESENTAÇÃO
N SRA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
N SRA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
N S APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NASARE,NOSSA SENHORA DE NAZARÉ
DSR,DIX-SEPT ROSADO
SATALITE ,PITIMBU
Bairro Nordeste,NORDESTE
NS APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
CONJ DOS BANCARIOS,PITIMBU
P NEGRA,PONTA NEGRA
SOLIDADE,POTENGI
Coqueiros,NOSSA SENHORA DA APRESENTAÇÃO
COQUEIROS,NOSSA SENHORA DA APRESENTAÇÃO
PRAIA DO MEIO ,PRAIA DO MEIO
PAJUCARA NORTE,PAJUÇARA
NSA SRA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
NS DE NAZARE,NOSSA SENHORA DE NAZARÉ
 Pajuçara Conjunto Parque das Dunas,PAJUÇARA
N S APRESENTCAO,NOSSA SENHORA DA APRESENTAÇÃO
BARRO VERMELHO,BARRO VERMELHO
BARRO NORDESTE,NORDESTE
CAPIM MACIO,CAPIM MACIO
N.S.NAZARE,NOSSA SENHORA DE NAZARÉ
NSA. SRA. DE NAZARE,NOSSA SENHORA DE NAZARÉ
NS DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SNRA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PRQ DAS DUNAS,LAGOA AZUL
N S D APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA S DA APRESENT,NOSSA SENHORA DA APRESENTAÇÃO
DIXPT-ROSADO,DIX-SEPT ROSADO
NOSSA SRA NAZARE,NOSSA SENHORA DA APRESENTAÇÃO
capim macio,CAPIM MACIO
N DESCOBERA,NOVA DESCOBERTA
N S  DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NSA DA APRESENTA ÃO,NOSSA SENHORA DA APRESENTAÇÃO
rosado,DIX-SEPT ROSADO
PARQUE JIQUI,OUTRO
Emaús,OUTRO
CARNAUBA,OUTRO
JARDIM LOLA,OUTRO
EMAÚS,OUTRO
NOVO HORIZONTE,PAJUÇARA
